,Questions,Correct,A,B,C,D,Category
193,"All but three European Union official languages are from the Indo-European family. They are Finnish, Estonian and which other language?
",Hungarian,Greek,Hungarian,Polsih,Bulgarian,geography
194,"Most of the European Union members are also part of a Schengen Agreement that allows their citizens to travel without passports across the member states. Which EU member is outside of the Schengen group?
",UK,Lithuania,UK,Poland,Denmark,geography
195,"Which member of the European Union completely surrounds two countries that are outside of the club?
",Italy,Austria,France,Spain,Italy,geography
196,"The head of John the Baptist can be seen in the Amiens Cathedral.
",True,True,False,,,geography
197,"Wat Chiang Man is a temple in Thailand. In it, fifteen of these animals represent a sea of unformed matter upon which the cosmos of the Chedi floats.
",Elephants,Fish,Monkeys,Birds,Elephants,geography
198,"The Shaolin temples are perhaps the Buddhist monasteries best known in the West. The word Shaolin means this.
",Young Forest,Blue Sky,Silent Soul,Young Forest,Pure Water,geography
199,"Which EU country or US state is not entirely situated on (an) island(s)?
",Rhode Island,UK,Hawaii,Rhode Island,Cyprus,geography
200,"Which country or state was the first to be attacked in WWII?
",Poland,Denmark,Hawaii,Poland,US Virgin Islands,geography
201,"Where was the colonial settlement New Amsterdam located?
",The state of New York,UK,New Jersey,Holland,The state of New York,geography
202,"Which of these is the largest in terms of area?
",Germany,Georgia,Florida,Germany,Finland,geography
203,"Which of these peaks is the highest?
",McKinley (Alaska),Grossglockner (Austria),McKinley (Alaska),Mont Blanc (France),Mount Elbert (Colorado),geography
204,"Which of the following metropolitan areas is the largest in terms of population?
",New York City,London,New York City,Paris,Los Angeles,geography
205,"Which river, flowing entirely through a single country or state, is the longest?
",Vistula (Poland),Vistula (Poland),Loire (France),Iowa (Iowa),Illinois (Illinois),geography
206,"What is the location of the worlds largest particle physics laboratory, established in 1954?
",In neither of them,In the EU,Both have laboratories of equal size.,In the US,In neither of them,geography
207,"Which of the following countries and states shares its name with its capital city?
",Luxembourg,New York,Malta,Luxembourg,Oklahoma,geography
208,"Which of these cities was established first?
",Madrid (Spain),New York City (New York),Copenhagen (Denmark),Madrid (Spain),Boston (Massachusetts),geography
209,"Which of the following flags doesnt include a cross?
",the flag of Alaska,the flag of Mississippi,the flag of the UK,the flag of Denmark,the flag of Alaska,geography
210,"Birmingham is the most populous city of which country or US state?
",Alabama,Austria,Alabama,the UK,Utah,geography
211,"Which one of these is not a Greek Mediterranean island?
",Minorca,Minorca,Lemnos,Crete,Santorini,geography
212,"Which one of these Mediterranean islands is the smallest in area?
",Corfu,Corsica,Cyprus,Crete,Corfu,geography
213,"What two colors are featured on the flag and coat of arms of Malta, a country consisting of seven Mediterranean islands?
",White and red,Green and black,Yellow and purple,White and red,Blue and yellow,geography
214,"Which one of these Mediterranean islands, belonging to Italy, is the largest in area?
",Sardinia,Sardinia,Procida,Capri,Ischia,geography
215,"This island, on which the volcano Etna is situated, is the largest Mediterranean island.
",Sicily,Sicily,Corsica,Rhodes,Sardinia,geography
216,"Which French Mediterranean island is the birthplace of NapolÃ©on Bonaparte?
",Corsica,Cyprus,Gozo,Corsica,Montecristo,geography
217,"Complete the lyrics of this 1999 hit single by the Vengaboys, referring to a Spanish island: 
",y Me High,...............Sky,oah! Were Going To ............,oah! Back To The Island,oah! Were Going To ..........,geography
218,"On April 11, 2002, Al-Qaeda carried out a terrorist attack near a synagogue on which Tunisian island?
",Djerba,Djerba,Yalikavak,Salih Ada,Kargi Adasi,geography
219,"Which one of these Mediterranean islands does not belong to the group of the Balearic Islands?
",Capri,Ibiza,Mallorca,Capri,Formentera,geography
220,"Which of these Mediterranean islands belongs to Croatia and is home of the endangered Griffon Vulture?
",Cres,Filfla,Procida,Cres,Gorgona,geography
221,"What motto do North Carolina license plates carry?
",First In Flight,The Old North State,First In Flight,Nothing Finer,Tarheel State,geography
222,"North Carolina has been well represented on the American Idol TV series Which contestant from the state became Americas Idol in 2004?
",Fantasia Barrino,Fantasia Barrino,Kerrier Ann Pickler,Clay Aiken,Taylor Hicks,geography
223,"In 1838 the Federal Indian Removal Policy was forced into effect by The Treaty of New Echota. Twenty Cherokee Indians, none elected officials of the Cherokee Nation, signed over all Cherokee Territory east of the Mississippi for five million dollars. The Cherokee Indians were then forced to march from their home in the mountain of North Carolina to Okalahoma. This journey became know by what name?
",Trail of Tears,Journey of No Return,Trail of Tears,Cherokee Death March,March of Sorrow,geography
224,"This military complex in North Carolina is one of the largest in the world and home to the 82 Airborne, the Golden Knights, and U.S. Army Special Operations Command.
",Fort Bragg,Fort Bragg,Fort Campbell,Fort Polk,Fort Dix,geography
225,"Riga is the capital of which Baltic country?
",Latvia,Estonia,Lithuania,Belarus,Latvia,geography
226,"What country gained independence from the British Mandate for Palestine in 1948?
",Israel,Syria,Sierra Leone,Jordan,Israel,geography
227,"What city is the capital of Madagascar?
",Antananarivo,Antananarivo,Toamasina,Harare,Maputo,geography
228,"What river encountered during the Lewis and Clark expedition (1804-1806) flows directly into the Pacific Ocean between Washington and Oregon?
",Columbia,Missouri,Snake,Columbia,Colorado,geography
229,"Which explorer was the first to reach the South Pole?
",Roald Amundsen,Richard Byrd,Sir Robert Falcon Scott,Roald Amundsen,Sir Ernest Henry Shackleton,geography
230,"What sea captain claimed British possession of the eastern part of Australia in 1770 naming it New South Wales?
",James Cook,James Cook,Horatio Nelson,Cuthbert Collingwood,Arthur Phillip,geography
231,"In what South American country was Che Ernesto Guevara born?
",Argentina,Paraguay,Argentina,Bolivia,Suriname,geography
232,"Near what sea was the ancient city of Troy located ?
",Aegean,Aegean,Mediterranean,Ionian,Adriatic,geography
233,"Which of these rivers runs through the Czech Republic and Germany?
",Elbe River,Elbe River,Rhine River,Danube River,Rhone River,geography
234,"Name the European co-principality whose heads of state are the President of France and the Bishop of Urgel.
",Andorra,Andorra,Vatican City,San Marino,Malta,geography
235,"After World War II, this country was split into two states which were not reunited until 1990.
",Germany,France,Spain,Austria,Germany,geography
236,"Mount Erebus is a volcano located on this continent.
",Antarctica,Antarctica,Europe,South America,Asia,geography
237,"Rastafarianism is a religion that venerates Haile Selassie as a god. Haile Selassie was the emperor of the third most populous country in Africa. Name that country.
",Ethiopia,Libya,Ethiopia,Mozambique,Gabon,geography
238,"Name Asias most densely populated country which has about three million people and an area of less than 250 square miles (402 kmÂ²).
",Singapore,Hokkaido,Taiwan,Laos,Singapore,geography
239,"In what city in Switzerland is the headquarters of the World Trade Organization (WTO) located?
",Geneva,Geneva,Berne,Born,Bamako,geography
240,"What is a ridge of coral in the sea called?
",Coral Reef,Atoll,Coral Reef,None of these,Coral Island,geography
241,"Jenin is the largest city in the West Bank.
",False,True,False,,,geography
242,"It has been found that the black mineral soil from the Dead Sea area of Israel helps maintain a good, young complexion. What is the name of the Israeli company that exports beauty products from the Dead Sea area?
",Ahava,Naot,Kfar Gideon,Rafaele,Ahava,geography
243,"The Dead Sea Scrolls, found in caves at Qumran, are believed to have been made by a group of people called what?
",Essenes,BHais,Sircurai,Essenes,Sarafai,geography
244,"It is practically impossible to drown unwillingly in the Dead Sea.
",True,False,True,,,geography
245,"To which countrys territory does the Dead Sea belong?
",Israel and Jordan share ownership,Egypt and Israel share ownership,Israel and Jordan share ownership,Israels territory,Saudi Arabias territory,geography
246,"What is the average salinity of the Dead Sea?
",30 %,11 %,30 %,49 %,54 %,geography
247,"What body of water feeds the Dead Sea?
",The Jordan River,The Euphrates River,The Mediterranean Ocean,The Red Sea,The Jordan River,geography
248,"The Bible tells the story of a woman that was turned into a pillar of salt near the Dead Sea. Who was her famous husband?
",Lot,Issac,Abraham,Pharoah,Lot,geography
249,"The Dead Sea, the lowest point on Earth, is how far below sea level?
",418 meters,349  meters,418 meters,517  meters,2608 meters,geography
250,"What was the name of the great fortification built in 37-31 BC by Roman king Herod I on a high hill above the Dead Sea?
",Masada,Masada,Kadesh-Barnea,Herods Citadel,Vespasians Citadel,geography
251,"The Dead Sea is part of the Great Rift Valley. How far does this valley extend in length?
",3700 miles,6700 miles,697 miles,1697 miles,3700 miles,geography
252,"No animals or plants live in the Dead Sea .
",False,True,False,,,geography
253,"What famous California prison was home to Charles Manson?
",Folsom,The Bastille,Sing Sing,Joliet,Folsom,geography
254,"American politician John McCain was incarcerated at the infamous Hoa Loa Prison, ironically called Hanoi Hilton.
",True,True,False,,,geography
255,"The Rosenbergs, who were convicted of conspiracy, were held at what prison?
",Sing Sing,Folsom,Alcatraz,Attica,Sing Sing,geography
256,"The Tower of London was built primarily to function as a fortress, a royal palace and a prison.
",True,False,True,,,geography
257,"Attica Prison was the locale of a 1975 riot that resulted in 38 deaths.
",False,True,False,,,geography
258,"Nelsons Column, built to commemorate Admiral Horatio Nelsons death, is a monument in this famous London square.
",Trafalgar Square,Soho Square,Leicester Square,Piccadilly Circus,Trafalgar Square,geography
259,"Tiananmen Square, which has been the site of a number of political events and student protests, is located in what Chinese city?
",Beijing,Beijing,Shanghai,Guangzhou,Taipei,geography
260,"The Kremlin, a historic fortified complex at the heart of Moscow, overlooks this square to the east.
",Red Square,Black Square,Azadi Square,Palace Square,Red Square,geography
261,"What iconic world landmark, sometimes called the Crossroads of the World, was formerly named Longacre Square?
",Times Square,Grosvenor Square,Times Square,Madison Square,St Jamess Square,geography
262,"What famous square is located in Vatican City, the papal enclave within Rome?
",St. Peters Square,Campo dei Fiori,St. Pauls Square,St. Peters Square,Piazza San Marco,geography
263,"Grand Place, which is known for its large flower carpet, is the main square of this capital European city.
",Brussels,Berlin,Paris,Strasbourg,Brussels,geography
264,"Which square is not correctly matched with the capital city in which it is located?
",Azadi Square - Karachi,Red Square - Moscow,Senate Square - Helsinki,Azadi Square - Karachi,Leicester Square - London,geography
265,"Piazza San Marco (St Marks Square), which Napoleon allegedly called The drawing room of Europe, is the principal square of this Italian city.
",Venice,Florence,Venice,Rome,Milan,geography
266,"What city in Eastern Europe, often associated with the story of Dracula, is also famous for Revolution Square, which was the site of a 1989 revolt?
",Bucharest,Bucharest,Warsaw,Budapest,Prague,geography
267,"What former president has addressed more than a million people on many occasions on Plaza de la RevoluciÃ³n in Havana?
",Fidel Castro,Benito Mussolini,Fidel Castro,Salvador Allende,Francisco Franco,geography
268,"What is the name of the sea that borders the Netherlands?
",North Sea,Red Sea,Black Sea,North Sea,Mediterranean Sea,geography
269,"What are the three colours of the national flag of the Netherlands from top to bottom?
","Red, white, and blue","Red, white, and blue","Blue, yellow, and red","Red, blue, and white","Green, red, and white",geography
270,"Rotterdam, located in the province of South Holland, is a major Dutch port.
",True,True,False,,,geography
271,"Gouda and Edam are famous types of Dutch cheeses.
",True,False,True,,,geography
272,"What is the capital city of the Netherlands?
",Amsterdam,Amsterdam,Amersfort,The Hague,Zwolle,geography
273,"What two countries border the Netherlands?
",Belgium and Germany,Germany and Lithuania,Germany and France,France and Belgium,Belgium and Germany,geography
274,"The name â€œHollandâ€ is equivalent to the name the Netherlands.
",False,True,False,,,geography
275,"Dutch is the official language of the Netherlands. What is the second official language of the country?
",Frisian,Low Saxon,Frisian,French,English,geography
276,"Demographically, the Netherlands matches which of this characteristics?
",All of these,All of these,Its population is first in average height in the world.,It is one of most densely populated countries in the world.,It is one of the most densely cabled countries in the world.,geography
277,"What Mediterranean island is divided between a Greek community and a Turkish community (although the latter is not internationally recognized as a separate entity)?
",Cyprus,Cyprus,Crete,Corsica,Malta,geography
278,"What South American island is shared by Chile and Argentina?
",Tierra Del Fuego,Islas Malvinas,Tierra Del Fuego,Islas Galapagos,Isla De Pascua,geography
279,"What island is shared by Indonesia and the nation of East Timor?
",Timor,Timor,New Guinea,Borneo,Flores,geography
280,"What European island is partially occupied by a neighbouring island nation, which has led to centuries of dispute?
",Ireland,Sardinia,Sicily,Iceland,Ireland,geography
281,"Which of these islands is shared by three countries?
",Borneo,Luzon,Ireland,Madagascar,Borneo,geography
282,"What is the name of the island shared by Haiti and the Dominican Republic?
",Hispaniola,Ile dHaiti,Hispaniola,Isla Dominica,Carib Island,geography
283,"What island is shared by the nations of Indonesia and Papua New Guinea?
",New Guinea,Bougainville,New Guinea,Timor,Borneo,geography
284,"This tiny Caribbean island is shared by France and the Netherlands.
",St. Martin,St. Lucia,St. Mark,St. Martin,St. Bartholomew,geography
285,"The tiny island of MÃ¤rket / MÃ¤rketin in the Baltic Sea is shared by these two nations.
",Finland and Sweden,Sweden and Denmark,Finland and Estonia,Finland and Russia,Finland and Sweden,geography
286,"The island of Sebatik, located east of Borneo, is shared by Indonesia and what other nation?
",Malaysia,The Philippines,Singapore,Malaysia,Brunei,geography
287,"The word â€˜oceanâ€™ is of Greek origin.
",True,False,True,,,geography
288,"Which is the smallest ocean?
",The Arctic Ocean,The Atlantic Ocean,The Indian Ocean,The Southern Ocean,The Arctic Ocean,geography
289,"What portion of the Earthâ€™s surface do oceans cover?
",More than two thirds,More than two thirds,One third,Half of it,One fourth,geography
290,"The Marianas Trench, the deepest location on the surface of the Earths crust, lies in this ocean.
",The Pacific Ocean,The Pacific Ocean,The Southern Ocean,The Indian Ocean,The Atlantic Ocean,geography
291,"The Dead Sea is actually a lake.
",True,False,True,,,geography
292,"The Pacific Ocean is the largest of the Earths oceanic divisions. Its name is derived from the Latin name Mare Pacificum which has the following meaning.
",The Peaceful Sea,The Peaceful Sea,The Lonely Sea,The Smooth Sea,The Lonely Sea,geography
293,"Which one of these Asian rivers does not flow into the Indian Ocean?
",Saigon,Zambezi,Saigon,Indus,Ganges,geography
294,"What sea is known to be the only sea without shores?
",The Sargasso Sea,The Sargasso Sea,The Norwegian Sea,The Labrador Sea,The Celtic Sea,geography
295,"The Bering Sea is a part of which ocean?
",The Pacific Ocean,The Arctic Ocean,The Pacific Ocean,The Indian Ocean,The Atlantic Ocean,geography
296,"The Mediterranean Sea is connected to the Atlantic Ocean by this strait.
",The Strait of Gibraltar,The Strait of Gibraltar,The Dardanelles,Strait of Magellan,Strait of Dover,geography
297,"The famous ÃŽle Notre-Dame, an artificial island built from earth excavated for a metropolitan railway, is located in which country?
",Canada,England,Canada,France,Switzerland,geography
298,"What is the popular name of the artificial island in Tokyo Bay, whose name is Yume No Shima in Japanese?
",Dream Island,Dream Island,Water Lilly,Wind Island,Sun Island,geography
299,"What is the name of the Peruvian floating islands, located in Lake Titicaca?
",Uros,Chaka,Laka,Uros,Barro,geography
300,"Which man-made island, located to the southwest of Singapore, was created by joining several natural islands?
",Jurong Island,Formoza,Jurong Island,Spiral Island,Neeltje-Jans,geography
301,"What is the name of the artificial island located in the Gatun Lake portion of the Panama Canal?
",Barro Colorado Island,Thilafushi,Shui Keng Teng,Chubu,Barro Colorado Island,geography
302,"Which 20-kilometre artificial island, situated in the river Danube, was nicknamed the Copa Kagrana?
",Donauinsel,Peberholm,Burj al-Arab,Odaiba,Donauinsel,geography
303,"Rokko island, constructed between 1973 and 1992, is an artificial island situated in which country?
",Japan,France,China,The Netherlands,Japan,geography
304,"Which artificial island is situated in San Francisco Bay, between San Francisco and Oakland?
",Treasure Island,HulhumalÃ©,Treasure Island,Port Island,Flakfortet,geography
305,"This artificial island, whose name literally means Pepper Islet, is part of the Oresund Bridge, connecting Denmark with Sweden.
",Peberholm,Peberholm,Kansai,Flakfortet,Palm Islands,geography
306,"Spiral Island, a small Mexican artificial floating island, was situated on the coast of which sea?
",The Caribbean Sea,The Black Sea,The Caribbean Sea,The Aegean Sea,The North Sea,geography
307,"The history of EU began on 25th of March 1957 when the European Economic Community was formed. What is the founding act called?
",Treaty of Rome,Treaty of Paris,Schengen Agreement,Schuman Declaration,Treaty of Rome,geography
308,"Which country was not among the founding states of the European Economic Community (the European Union predecessor)?
",UK,Luxembourg,Italy,France,UK,geography
309,"When did Ireland join the European Union?
",1973,1995,1973,1960,1986,geography
310,"The citizens of which country rejected the idea of joining the EU in 1972 and again in 1994?
",Norway,Norway,Denmark,Iceland,Finland,geography
311,"The EU has been a western club for most of its history. But which of these western countries has stayed out of the EU?
",Switzerland,Belgium,Spain,Switzerland,Luxembourg,geography
312,"Which former Yugoslavian republic was the first to be admitted to the European Union?
",Slovenia,Macedonia,Serbia,Croatia,Slovenia,geography
313,"The 6th European Union enlargement took place on May 1 2004. How many countries were admitted then?
",10,8,12,10,14,geography
314,"Many countries held national referenda before joining the European Union. Which of the following nations showed the highest support for joining (92% in favour)?
",Slovakia,Poland,Ireland,Lithuania,Slovakia,geography
315,"What kind of agreement is the Schengen Agreement?
",It allows EU citizens to travel without passports within the EU borders.,It is a visionary chapter about a further EU enlargement.,It allows EU citizens to travel without passports within the EU borders.,"It regulates the relationships with non-EU countries, especially Russia.",It introduced a common currency - the Euro.,geography
316,"When did the euro become the official currency of the Eurozone?
",2002,1999,1994,2002,2004,geography
317,"The flag of which US state features a white American Bison on a blue field?
",Wyoming,Nevada,Wyoming,Texas,South Dakota,geography
318,"The name of which US state means large creek in the Seneca language?
",Ohio,Idaho,Ohio,Texas,Wisconsin,geography
319,"Montgomery is the capital city of this US state, and its largest city is Birmingham.
",Alabama,Arizona,Alaska,Arkansas,Alabama,geography
320,"Everglades National Park is located in this US state.
",Florida,Hawaii,Nevada,Georgia,Florida,geography
321,"The state drink of this US state is milk, its state bird is the Western Meadowlark, its state flower is the Wild Prairie Rose, and its state slogan is Legendary.
",North Dakota,North Dakota,South Dakota,North Carolina,South Carolina,geography
322,"According to one theory, the name of this US state comes from the French word for hurricane.
",Oregon,Arizona,Oregon,Colorado,Vermont,geography
323,"Baton Rouge is the capital of what US state?
",Louisiana,New Hampshire,Maine,Louisiana,North Carolina,geography
324,"The largest city in what US state hosts Summerfest, or The Worlds Largest Music Festival?
",Wisconsin,New Jersey,Wisconsin,Kentucky,Maryland,geography
325,"The name of this US state means great river and its symbol is the magnolia tree.
",Mississippi,Missouri,Massachusetts,Mississippi,Minnesota,geography
326,"Which US state has been nicknamed The First State, The Small Wonder, Blue Hen State, and The Diamond State?
",Delaware,Pennsylvania,Virginia,Delaware,New York,geography
327,"The smallest monkey on earth is found in the Philippines.
",True,False,True,,,geography
328,"The Ifugao Rice Terraces are  located in Luzon, in the Philippines. If it were possible to place them end to  end, how long would they extend?
","1,400 miles","1,500 miles","5,800 miles","8,000 miles","1,400 miles",geography
329,"What are the largest cities in the Philippines in terms of land area?
",Davao City and Puerto Princesa City,Manila and Davao City,Zamballes and Puerto Princesa City,Zamballes and Manila,Davao City and Puerto Princesa City,geography
330,"The Philippines has the worlds largest deposit of heavy water which can be used for atomic energy, in spectroscopy, and as an automobile fuel. What makes heavy water different from water?
",The presence of deuterium,An extra hydrogen molecule,One  less hydrogen molecule making it HO not H2O,An extra oxygen molecule,The presence of deuterium,geography
331,"From 1888-1889, American traders Simon and Thomas Metcalfe brought some men from Manila to the Western Hemisphere. Which state did they bring them to?
",Alaska,California,Mexico,Oregon,Alaska,geography
332,"Who was the first  female  President of the Philippines?
",Corazon Aquino,Eleanor Concepcion,Louiza Rizal,Ramona  Magsaysay,Corazon Aquino,geography
333,"Who is the first Filipino-American to become Governor of a US state?
",Benjamin Cayetano,Franklin  Rakata,Jose Nisperos,Jose Rizal,Benjamin Cayetano,geography
334,"On December 7, 1941 the Japanese launched a sneak attack on Pearl Harbor. On that day they also launched a similar attack on this American airbase in the Philippines.
","Angeles, Pampanga, Philippines","Subic Bay, Luzon, Philippines","Capas Air Base,Tarlac, Philippines","Angeles, Pampanga, Philippines","Clark Air Force Base, Pampanga, Philippines",geography
335,"Which best  describes the religious distribution of the populace of the Philippines?
","82% Catholic, 9% Protestant, 5% Muslim and  3 % Buddhist","82% Catholic, 9% Protestant, 5% Muslim and  3 % Buddhist","92 % Catholic, 7 % Muslim, 1% all others","57 % Muslim, 40 % Protestant, 1 % Catholic","41% Catholic, 38 % Muslim, 10% Buddhist , 9 % Protestant",geography
336,"This US President was born in South Carolina although he lived in Tennessee when he became president.
",Andrew Jackson,William Henry Harrison,Zachary Taylor,Andrew Jackson,Jimmy Carter,geography
337,"Which of the following states borders South Carolina?
",Georgia,Alabama,Tennessee,Virginia,Georgia,geography
338,"In 1860 South Carolina became the first state to secede from the Union.
",True,True,False,,,geography
339,"South Carolina is the state whose shape most closely resembles a triangle.
",True,False,True,,,geography
340,"What South Carolina Senator lived to be one hundred years old while still holding office?
",Strom Thurmond,Strom Thurmond,Mike Mansfield,"James, (Jimmy)  Byrnes",Fritz Hollings,geography
341,"Francis Marion fought the British in the swamps of South Carolina during the Revolutionary War, using guerrilla tactics, that the communist Vietcong in Vietnam would have understood well. For this Marion was given the following nickname.
",The Swamp Fox,The Swamp Fox,The Yankee Ghost,The Carolina Gamecock,The Fighting Gator,geography
342,"The Grand Strand is a long stretch of sandy beach situated near which of the following?
",Myrtle Beach,Hilton Head,Follie Beach,Myrtle Beach,Charleston,geography
343,"The city of Fargo is the largest city in which of these U.S. states?
",North Dakota,North Carolina,South Dakota,North Dakota,South Carolina,geography
344,"Name the capital city of the U.S. state of Washington.
",Olympia,Seattle,Olympia,Madison,Boise,geography
345,"Which U.S. state has been nicknamed The Cornhusker State?
",Nebraska,Nevada,Ohio,Nebraska,Wyoming,geography
346,"Topeka is the capital city of which U.S. state?
",Kansas,Kansas,Arkansas,Missouri,Colorado,geography
347,"Which of these nicknames refers to the U.S. state of Idaho?
",Gem State,Emerald State,Pearl State,Gem State,Golden State,geography
348,"What does the name of the U.S. state of Utah mean in the Ute language?
",People of the mountains,Spirits of the rivers,Children of the winds,People of the mountains,Land around the great lake,geography
349,"Saint Paul is the capital city of what US state?
",Minnesota,Missouri,Minnesota,Mississippi,None of these,geography
350,"The Black Sea drains into the Atlantic Ocean via the Sea of Marmara and the Mediterranean Sea on the South West. On the other, North East side of the Black Sea, there is a small sea which is connected to the Black Sea via the Strait of Kerch. Name this sea.
",The Sea of Azov,The White Sea,The Caspian Sea,The Aral Sea,The Sea of Azov,geography
351,"Six countries are located along the Black Sea border. Which one among them has the longest Black Sea coast line (not including the Sea of Azov coast line)?
",Turkey,Romania,Turkey,Russia,Ukraine,geography
352,"Not counting Istanbul, which of these cities is located on Bosphorus on the side of the Sea of Marmara and is the biggest city on the coast of the Black Sea?
","Odessa, Ukraine","Trabzon, Turkey","Sukhumi, Georgia","Varna, Bulgaria","Odessa, Ukraine",geography
353,"The names of three large rivers flowing into the Black Sea begin with a letter D. Danube, the largest of the three, flows through ten European countries and enters the Black Sea in Romania. The other two end their flow in this country.
",Ukraine,Bulgaria,Turkey,Ukraine,Russia,geography
354,"The Black Sea city of Sukhumi is the capital of this republic that proclaimed its independence from Georgia in the 90s.
",Abkhazia,Ajaria,Iberia,Ossetia,Abkhazia,geography
355,"The Black Sea, whose waters are known to be meromictic, is the largest water basin in the world where water layers do not intermix, and, thus, lack the dissolved form of what?
",Oxygen,Salt,Nitrogen,Oxygen,Hydrogen Sulfide,geography
356,"The Crimean peninsula has been under the control of multiple powers over the centuries. Although it is considered to be an autonomous republic, it is a part of this nation.
",Ukraine,Ukraine,Romania,Bulgaria,Russia,geography
357,"From the viewpoint of physical geography and ecology, the Ukrainian territories to the north of the Black Sea are known to contain what?
",Steppes or plains,Low hills and forests,Steppes or plains,Mountains,Sand desert,geography
358,"The Black Sea reaches the maximum depth of 2,210 m. Its neighbor, the Sea of Azov, is unique in terms of sea depth for what reason?
",It is the shallowest sea in the world.,Its floor sinks constantly because it is located on a large basalt plate.,It is the shallowest sea in the world.,It has almost perfectly flat sea floor with a depth of 1370 m.,"It has no established sea floor, it changes constantly with currents.",geography
359,"All these entities are located around the Black Sea except for one. Name the exception.
",Ural mountains,Ural mountains,Balkan peninsula,Caucasus mountains,Anatolia,geography
360,"The summit ridge of Mount Everest marks the border between which two Asian countries?
",China and Nepal,India and China,Nepal and India,China and Georgia,China and Nepal,geography
361,"The locals of Nepal call the highest mount in the world - Mount Everest -  Sagarmatha. What is the meaning of this name in Sanskrit?
",Head of the Sky,Holy Mountain,Ice Zone,Leader Among the Others,Head of the Sky,geography
362,"The highest mountain in the world is named after Sir George Everest, a famous Welshman. What was his profession?
",Surveyor and geographer,Defender of human rights,Actor,Surveyor and geographer,President,geography
363,"The Himalayan range, part of which is Mount Everest, stretches across five different countries in Asia. Which of the following countries is not among them?
",Israel,Israel,Bhutan,Pakistan,India,geography
364,"Edmund Hillary, the first mountaineer to reach mount Everest, was from what country?
",New Zealand,The USA,Great Britain,Norway,New Zealand,geography
365,"What nationality was mathematician and surveyor Radhanath Sikdar, who was the first person to measure the height of Everest?
",Bengali-Indian,Bengali-Indian,Chinese,Pakistani,Tibetan,geography
366,"Which of the following paths is one of the two most popular climbing routes to Mount Everest?
",The southeast ridge from Nepal,The south ridge from Tibet,The east ridge from Pakistan,The west ridge from India,The southeast ridge from Nepal,geography
367,"What nationality was Junko Tabei - the first woman to reach the peak of Mount Everest?
",Japanese,Japanese,Chinese,Indian,Nepalese,geography
368,"This Italian climber, who was in the first expedition to reach Mount Everest without oxygen tanks, later became the first person to climb the summit alone.
",Reinhold Messner,Reinhold Messner,Laurie Skreslet,Jerzy Kukuczka,Tim Macartney,geography
369,"The term death zone refers to high altitudes, where the amount of oxygen cannot sustain human life and altitude acclimatization becomes impossible.  While this definition still applies, mount Everests death zone is significantly more difficult to survive.  Why?
",Extremely low temperatures result in quick freezing of body parts,Visibility is decreased due to constant snowstorms,Extremely low temperatures result in quick freezing of body parts,High wind velocity causes deadly avalanches,Polar bears pose a serious threat to climbers,geography
370,"What is the largest island on the planet in terms of territory?
",Greenland,Madagascar,Sumatra,Greenland,New Guinea,geography
371,"This island, located north of Australia, is the second-largest island on the planet.
",New Guinea,Tasmania,New Guinea,South Island,Sri Lanka,geography
372,"This is the third-largest island on the planet, and it is also known as Kalimantan.
",Borneo,Bali,Borneo,Taiwan,Java,geography
373,"This is the fourth-largest island in the world, and it is home to 5% of the plant and animal species on the planet.
",Madagascar,Jamaica,Madagascar,Tasmania,Cuba,geography
374,"This is the largest European island, and the ninth-largest island on the planet.
",None of these,Sicily,Sardinia,None of these,Cyprus,geography
375,"What is the largest island of Canada, and the fifth-largest island in the world?
",Baffin Island,Victoria Island,Baffin Island,Banks Island,Devon Island,geography
376,"What is the most populous island in the world?
",Java,Java,Cuba,Borneo,Honshu,geography
377,"This island is located in the Indian Ocean and is also known as Ceylon.
",Sri Lanka,Borneo,Taiwan,Sumatra,Sri Lanka,geography
378,"The capital of this island country is Kingston.
",Jamaica,Jamaica,Haiti,Hispaniola,Cuba,geography
379,"What is the largest island in the Mediterranean Sea?
",Sicily,Crete,Corsica,Sicily,Cyprus,geography
380,"The geographic North and South Poles are at fixed locations and have not moved.
",False,True,False,,,geography
381,"Which nation claims ownership of the South Pole?
",No nation does.,Russia,No nation does.,France,The USA,geography
382,"In 1728, he became the first person to sail into the Arctic Ocean and proved that Asia and North America are not joined by land.
",Bering,Cook,Bering,Scott,Peary,geography
383,"Who is given credit  for being the first person to reach the North Pole?
",Peary,Peary,Bering,Amundsen,Scott,geography
384,"What happened at the North Pole on August 3, 1958?
",A submarine travelled underwater under the Pole.,"The northernmost US city, Naavetau, was founded.",The first airport in the Arctic was built.,A submarine travelled underwater under the Pole.,The last Arctic Moa was killed.,geography
385,"The first time Antarctica was officially visited is a subject of controversy. Three people have claimed to have achieved this feat. Which of these is not one them?
",James Cook,Edward Bransfield,Nathaniel B. Palmer,Fabian von Bellinghausen,James Cook,geography
386,"Which statement is true about the explorer and glaciologist Albert P. Crary?
",He was the first person to reach both the North and South Poles.,He was the first person to set foot on Antarctica.,He was the first pilot to fly across the South Pole.,He was the first person to build a home above the Arctic Circle.,He was the first person to reach both the North and South Poles.,geography
387,"Who was the first person to reach the South Pole?
",Amundsen,Scott,Amundsen,Henson,Peary,geography
388,"The temperature at the North Pole is higher than the temperature at the South Pole.
",True,False,True,,,geography
389,"Few animals inhabit the North Pole. Which of these types of animals can never be seen there?
",Penguins,Penguins,Bears,Birds,Fish,geography
