,Questions,Correct,A,B,C,D,Category
285,"The term waddy is a noun that means sailor.
",False,True,False,,,humanities
286,"What word defines a person who lives in seclusion for religious reasons?
",Anchorite,Garderobe,Wimple,Canard,Anchorite,humanities
287,"Panoptic means having a panoramic view.
",True,True,False,,,humanities
288,"What noun refers to a bald-headed man or a man that is looked at with humor or mock pity?
",Pilgarlic,Libertine,Pilgarlic,Infix,Distrait,humanities
289,"The word palmy means poor or underfunded.
",False,True,False,,,humanities
290,"What word means either cheerful and optimistic or having good digestion?
",Eupeptic,Eupeptic,Demulcent,Resplendent,Estival,humanities
291,"Jocose means somber or depressed.
",False,True,False,,,humanities
292,"What is a privet?
",a type of shrub,an electronic circuit,a prudish person,a type of animal,a type of shrub,humanities
293,"Which of these words means loose hemp or jute fiber, occasionally treated with pitch or tar?
",oakum,oak leaf cluster,oakum,ocarina,oarlock,humanities
294,"Can you define the word nimbus?
",a halo or bright light,a state of being numb,a halo or bright light,an alcove or recess in a wall,a radioactive element,humanities
295,"Milch is an adjective that can be put before which of the following words?
",cow,cow,oxen,bull,hen,humanities
296,"What word refers to an emperor of Japan?
",Mikado,Reredos,Mufti,Mikado,Milt,humanities
297,"Which one of these words denotes a type of shade tree?
",Linden,Ligroin,Lignite,Likuta,Linden,humanities
298,"What is a killdeer?
",a bird,a Turkish viceroy,a type of deer,a bird,an English economist,humanities
299,"Where would you find a jalousie?
",in a home or building,in a home or building,in a vehicle,on your head,on your hat,humanities
300,"What color is the Iridium?
",yellow,yellow,red,blue,green,humanities
301,"Where would find a half track?
",in the military,in your car,in the military,in a gym,in a plane,humanities
302,"What character does Beyonce Knowles portray in the 2006 movie Dreamgirls?
",Deena Jones,Michelle Morris,Lorell Robinson,Deena Jones,Madeline  Robinson,humanities
303,"What is Jamie Foxxs role in the movie Dreamgirls?
","Curtis Taylor, Jr.","Curtis Taylor, Jr.",C. C. White,James Thunder Early,Marty Madison,humanities
304,"In which city does the movie Dreamgirls begin?
",Detroit,New York City,Los Angeles,Chicago,Detroit,humanities
305,"In the movie Dreamgirls, this actress portrays Lorrell Robinson, the only original member of the group  who was never the lead singer.
",Anika Noni Rose,Sheryl Lee Ralph,Anika Noni Rose,Amanda Morris,Sharon Leal,humanities
306,"Who does Eddie Murphy portray in the film Dreamgirls?
",James Thunder Early,Marty Madison,Wayne,James Thunder Early,"Curtis Taylor, Jr.",humanities
307,"Who portrays Effie Melody  White in the 2006 movie Dreamgirls?
",Jennifer Hudson,Jennifer Warens,Jennifer Hudson,Jennifer Holliday,Jennifer Halliday,humanities
308,"In the movie Dreamgirls, who is the only  singer to have a child?
",Effie,Madeline,Deena,Michelle,Effie,humanities
309,"In the movie Dreamgirls, this actor plays Marty Madison, an old time manager, who is pushed out  of business by Curtis.
",Danny Glover,Danny Glover,John  Lithgow,Adam Brooks,James Krasinski,humanities
310,"Who directed the movie Dreamgirls?
",Bill Condon,Michael Bennett,Bill Condon,James Krasinski,Tom Eyen,humanities
311,"Jamie Foxx, who stars in the movie Dreamgirls, sang the theme song for what 1999 movie?
",Any Given Sunday,Any Given Sunday,Anywhere But Here,Anything Fo You,Anythings Possible,humanities
312,"Jamie Foxx, Jessica Lange, Julianne Moore, Holly Hunter, Al Pacino, Sigourney Weaver, Barry Fitzgerald, Teresa Wright and Faye Bainter share what distinction?
",They were nominated for both a lead actor/actress and supporting actor/actress Oscar in the same year.,They were nominated for both a lead actor/actress and supporting actor/actress Oscar in the same year.,Each was nominated for an Oscar for their first movie.,They are all alumni of USCs drama school.,They were nominated for Oscars in three consecutive years.,humanities
313,"This star from Boston Public is the only actress from the original Broadway cast of Dreamgirls who appeared (and sang) in the 2006 movie adaptation.
",Loretta Devine,Diane Adams,Loretta Devine,Sharon Leal,Beyonce Knowles,humanities
314,"Who originated the role of Deena Jones in the Broadway play Dreamgirls?
",Sheryl Lee Ralph,Michelle Adams,Sheryl Lee Ralph,Beyonve Knowles,Jennifer Halliday,humanities
315,"Who originated the role of Effie on the Broadway production Dreamgirls?
",Jennifer Holliday,Jennifer Warens,Jennifer Holliday,Jennifer Halliday,Jennifer Hudson,humanities
316,"How was the movie Dreamgirls rated?
",PG-13,X,PG-13,G,PG,humanities
317,"The original Broadway play Dreamgirls was designed to feature which actress/singer?
",Nell Carter,Sheryl Lee Ralph,Diana Ross,Pearl Bailey,Nell Carter,humanities
318,"Which word means extravagance in cooking and/or serving?
",abliguration,ascerose,accolent,alimenation,abliguration,humanities
319,"Which word means leave hurriedly or secretly?
",absquatulate,absquatulate,alleperpate,accolent,absperpate,humanities
320,"What does abactor mean?
",a cattle thief,a cattle thief,a doctor who heels back and / or spinal pain,a person who edits a book,a person who retracts a decree,humanities
321,"What does the word axilla mean?
",an armpit,a medieval weapon with two sharp faces,a tiny worm found in Southern Europe,an armpit,the part of a flower protecting the reproductive organs,humanities
322,"Which word means fear of solitude?
",autophobia,autophobia,automysophobia,avalophobia,auxiolophobia,humanities
323,"Which word means pertaining to grandparents?
",aval,aval,avital,avanital,autovitalic,humanities
324,"What does anatine mean?
",duck-like,duck-like,naval or marine,unusually large and/or  fat,reptile like,humanities
325,"What is the definition of the word acoushla?
",a term of endearment,a term of endearment,a term of military respect,a type of two-person fishing boat used in Scotland and Northern Ireland,a type of gnome mentioned in Irish literature,humanities
326,"Which word means a person learning the alphabet?
",abecedarian,avuncularian,abcederrian,abcadarian,abecedarian,humanities
327,"What does acronyal mean?
",occurring at sunset,not at a regular time,late,occurring at sunset,not on an annual basis,humanities
328,"Select the correct spelling.
",bellwether,bellweather,belweather,bellwether,belwether,humanities
329,"Hestia is the goddess of the hearth in Greek mythology.
",True,True,False,,,humanities
330,"Apollo is the Greek god of the hunt.
",False,True,False,,,humanities
331,"Goddess Demeter taught the human beings what according to Greek mythology?
",Farming,None of these,Farming,Swimming,Hunting,humanities
332,"What is Poseidon god of in Greek mythology?
",Nature and the seas,Nature and the seas,None of these,Movement,Poisons,humanities
333,"When drawing the human form, the entire figure is generally how many heads tall?
",8,10,6,8,7,humanities
334,"While tempera paint rarely includes this ingredient nowadays, it was prevalent with the Byzantine artists of the thirteenth and fourteenth centuries.
",Egg yolk,Sulfur,Egg yolk,Lye,Ash,humanities
335,"Which of the following is not a type of pottery?
",Glazeware,Porcelain,Stoneware,Earthenware,Glazeware,humanities
336,"Which of the following is not a movement in art history?
",Subrealism,Bauhaus,Dada,Rococo,Subrealism,humanities
337,"When creating a woodcut or linoleum print, you would generally carve out (or remove) which of these?
",Negative space,Subject,Foreground,Interior,Negative space,humanities
338,"Which of these qualities represents the major difference between watercolor and acrylic paints?
",Level of opacity,Solubility,Level of opacity,Cost,Rate of drying,humanities
339,"What style of art breaks from traditional perspective and depicts the subject matter from multiple points of view, fragmenting a three-dimensional form in order to depict it on the two-dimensional surface?
",Cubism,Fauvism,Cubism,Impressionism,Expressionism,humanities
340,"Which of the following is not an ingredient in typical camera film?
",Sucrose,Gelatin,Polyester,Sucrose,Cellulose Acetate,humanities
341,"A drawing in which one continuous line is used to trace the outlines of the subject matter, using more or less pressure to suggest shadow, is called what?
",Contour,Gesture,Line,Contour,Trace,humanities
342,"The method of watercolor painting in which paper, crumpled plastic wrap, or other items are applied to the paint when wet and removed after drying is called decalcomania.
",True,True,False,,,humanities
343,"Tango is a complicated dance with even more complicated origins. Angel Villoldo was the first to ever record a Tango. This is the home of Tango (and Angel Villoldo ).
",Argentina,Spain,England,France,Argentina,humanities
344,"One of the most popular Latin American dances is cha-cha-cha. It became popular in the United States in the 1950s and its music was derived from the music of this dance.
",Mambo,Mambo,Foxtrot,Merengue,Polka,humanities
345,"The home country of Salsa is Brazil.
",False,True,False,,,humanities
346,"One of the best (some say he was the best ever) tango dancers was JosÐµ Ovidio Bianquet. His story is as mysterious as tango itself and his nickname is one of the most legendary in the history of this great dance. What is it?
",El Cachafaz,Sin rumbo,El Tarila,El Cachafaz,El Vasco,humanities
347,"The word samba is probably derived from the Angolan semba, meaning a religious rhythm. The dance and its music were born in the black ghettos of this city. The biggest samba carnival is also held in this city.
",Rio de Janeiro,Rio de Janeiro,San Juan,Havana,Brasilia,humanities
348,"Merengue was born in Portugal in the 16th century as part of an important ritual.
",False,False,True,,,humanities
349,"Probably the most famous and influential ballroom dance is Waltz. Its closed position became an example for many other dances and made it very fashionable. Waltz first became popular in this city and then spread all over the world.
",Vienna,Paris,Toledo,Vienna,London,humanities
350,"One of the symbols of the Spanish culture is the Flamenco (Flamenco originally meant Flemish in Spanish). At first Flamenco consisted only of unaccompanied singing, but later came the other essential ingredients, such as the dance and the guitar. What is the name of the flamenco guitar?
",Toque,Cajon,Palmas,Toque,Baile,humanities
351,"Quadrille was born as part of military parades in the 17th century and was performed by 4 horsemen and their horses.
",True,True,False,,,humanities
352,"This is a Polish folk dance which became quite popular at ballrooms. It is in triple time and its tempo is usually moderate. It has spread all over the world in countries such as the United States, Russia and France.
",Mazurka,Polka,Mazurka,Polska,Cumbia,humanities
353,"This Latin phrase means to a sickening or tiresome degree.
",ad nauseam,sic malaria,in tota nauseam,sin vibre,ad nauseam,humanities
354,"In debating, this term refers to an argument that attacks a persons character, as opposed to the subject of debate.
",ad hominem,ad hoc,ad hominem,in argumentatus,ad homunculus,humanities
355,"This is a label inside a book that bears the owners name.
",ex libris,ad literatus,ex libris,in libro,ex literatus,humanities
356,"In England, names of places ending in chester, like Manchester and Winchester come from a Latin word meaning what?
",camp,meadow,stream,camp,house,humanities
357,"Argentina comes from the Latin word Argentum which means silver.
",True,True,False,,,humanities
358,"A corrupted version of the Arabic word wadi, meaning watercourse, gives us this Spanish toponym.
",Guadalajara,Salamanca,Madrid,Andalucia,Guadalajara,humanities
359,"The Native Americans knew this place as Mesconsing, Lewis and Clark recorded it as Quisconsing. Its name was further distorted. What do we know it today as?
",Wisconsin,Wisconsin,Quebec,Colorado,"Lansing, Michigan",humanities
360,"What do the toponyms Rio Grande, Mississippi and Ta Ho mean in their native tongues?
",Big River,Long River,Big River,Great River,Surrounded by water,humanities
361,"Cairo means happiness in Arabic.
",False,True,False,,,humanities
362,"What place in New York was named Vlissigen by the Dutch?
",Flushing,Yonkers,Brooklyn,Flushing,Harlem,humanities
363,"Omaha is a distorted Native American tribal name.
",True,True,False,,,humanities
364,"What does Sahara mean in Arabic?
",wasteland,oasis,fertile,wasteland,sand,humanities
365,"For which monarch was the state of Virginia named?
",Queen Elizabeth I of England,King Louis IV of France,King Virgil of Denmark,Mary Queen of Scots,Queen Elizabeth I of England,humanities
366,"Which one of these words means an ornamental clasp or pin?
",brooch,brocade,ballast,bivouac,brooch,humanities
367,"Pick the B word that does NOT mean to nag or intimidate.
",befuddle,bluster,befuddle,badger,browbeat,humanities
368,"Which one of these words means to soil or defile?
",besmirch,besmirch,bewitch,broach,beseech,humanities
369,"Which of the following words does NOT mean a blessing?
",blight,benediction,benevolence,blight,boon,humanities
370,"What does the word blithe mean?
",joyous and lighthearted,joyous and lighthearted,full of errors,"limber, spry, agile",hard to understand,humanities
371,"Choose the B word that means rough or noisy.
",boisterous,bawdy,boisterous,boorish,bland,humanities
372,"Which of these word means a large group?
",bevy,bugaboo,bastion,bevy,blandishment,humanities
373,"Which of these B words means shortness of duration?
",brevity,blasphemy,bureaucracy,brevity,buffoonery,humanities
374,"Which one of these words means cheerful and optimistic?
",buoyant,buoyant,bacchanalian,bereft,bucolic,humanities
375,"Which of these words means highly ornate?
",baroque,baroque,bombastic,blase,burnishing,humanities
376,"Is it true that the figures of Cupid throughout history have had two different sides?
",Yes,Yes,No,,,humanities
377,"There are several different stories about Cupids parentage and the most popular is that his mother is Venus and his father - Mars.
",True,True,False,,,humanities
378,"The typical Christian depiction of a cherub is often compared to Cupid.
",True,False,True,,,humanities
379,"Cupid appears in the movie Toothless and is portrayed by actor Richard Chamberlain.
",False,True,False,,,humanities
380,"According to Greek mythology, this god is responsible for lust, love and sex.
",Eros,Eros,Cupid,Mars,Kama,humanities
381,"In ancient Athens, one day per week was sacred to Eros.
",False,False,True,,,humanities
382,"February 14 is the day set aside for Valentines Day, the day celebrating love.
",True,False,True,,,humanities
383,"100 million valentines are estimated to be given out in February in honor of Valentines Day.
",False,False,True,,,humanities
384,"What kind of creature is the leprechaun in Irish mythology?
",Fairy,Fairy,Gnome,Dwarf,Demon,humanities
385,"Which popular NBA team has a logo, featuring a leprechaun?
",Boston Celtics,Washington Wizards,L.A. Lakers,Boston Celtics,Orlando Magic,humanities
386,"Once leprechauns were described as creatures dressed in red.
",True,False,True,,,humanities
387,"What is the traditional craft practiced by leprechauns according to Irish mythology?
",making shoes,making shoes,making shamrocks,making hats,making gold coins,humanities
388,"According to legend, a leprechaun must tell the truth if looked directly in the eye.
",True,True,False,,,humanities
389,"In the old days, in order to keep leprechauns content, Irish people used to leave out a dish of what?
",Milk,Milk,Beer,Whiskey,Cookies,humanities
390,"There are female leprechauns.
",False,True,False,,,humanities
391,"A quorum has to do with a group of  which of these?
",people,flowers,words,animals,people,humanities
392,"Which of these words is associated with clothing?
",raiment,raison detre,raiment,recherche,rugger,humanities
393,"Pick out the word that means a type of person.
",sybarite,sylvan,sybarite,stentorian,sternum,humanities
394,"Tellurium is a metallic element of this color combination.
",silvery/white,black/white,silvery/white,red/white,gold/white,humanities
395,"The word umbilicus refers to what part of the human body?
",the navel,the legs,the eye brows,the head,the navel,humanities
396,"Which of these words means having an insatiable appetite?
",voracious,vole,viviparous,vizier,voracious,humanities
397,"Which of these animals can be a wrasse?
",fish,goat,antelope,pig,fish,humanities
398,"Pick out the name of the king of Persia from either 519-465 B.C. or 486-465 B.C.?
",Xerxes,Xenon,Xebec,Xerxes,X-axis,humanities
399,"The word yurt is similar in meaning to which of these words?
",tent,a medieval creature,ship,statue,tent,humanities
400,"Zoroastrianism refers to which of the following?
",a type of religion,,a type of religion,human sacrifice,Greek philosophy,humanities
401,"Which of these words means to guess?
",conjecture,conjecture,castigate,contrive,coerce,humanities
402,"Does the word clemency mean the state of being a huge Mark Twain fan?
",No,Yes,No,,,humanities
403,"Pick the word that does NOT mean conversation.
",concordance,colloquy,chitchat,concordance,conference,humanities
404,"Which of these words can be defined as an expert critical judge of art?
",connoisseur,coquette,connoisseur,clairvoyant,charlatan,humanities
405,"Which one of these words means pleased or satisfied with oneself?
",complacent,capacious,complacent,congenial,candid,humanities
406,"Which of these words means panic?
",consternation,cynicism,cataclysm,cacophony,consternation,humanities
407,"Pick the word that means annoyance at ones own failures or errors.
",chagrin,cupidity,collusion,chagrin,composure,humanities
408,"Which one of these words means to recover after a sickness?
",convalesce,cauterize,convalesce,coddle,conciliate,humanities
409,"The word centimeter means one hundred meters.
",False,False,True,,,humanities
410,"Find the word that does NOT mean to hold back.
",conduce,check,constrain,control,conduce,humanities
411,"For which culture does a Sinophile have an obsessive love?
",China,France,China,Japan,England,humanities
412,"Philhellenism is an obsessive love of which culture?
",Greek,Chinese,Japanese,Greek,German,humanities
413,"What is cyberphilia?
",An obsessive love of the Internet,An obsessive love of the Internet,An obsessive love of flowers,An obsessive love of cybersex,An obsessive love of electronics,humanities
414,"This is an obsessive love of  clowns.
",Coulrophilia,Cacophilia,Bathyhilia,Coulrophilia,Bufonophilia,humanities
415,"Of course there is a word for an obsessive love of peanut butter sticking to the roof of your mouth. Which one is it?
",Arachibutyrophilia,Bibilophilia,Arithmophilia,Arachibutyrophilia,Canophilia,humanities
416,"This is an obsessive love of walking.
",Ambulophilia,Tocophilia,Pedalophilia,Ambulophilia,Sesquipedalophilia,humanities
417,"For what does a lygophile have an obsessive love?
",Darkness,Wine,Old people,Darkness,Kindness,humanities
418,"This is an obsessive love of cats.
",Ailurophilia,Phallainophilia,Catagelophilia,Apiophilia,Ailurophilia,humanities
419,"Trichophilia is an obsessive love of what ?
",Hair,The dark,Pain,Hair,Insects,humanities
420,"What do we call an obsessive love of being ridiculed?
",Catagelophilia,Enochlophilia,Agathophilia,Catagelophilia,Drosophilia,humanities
421,"What is the term for obsessive love of wild animals?
",Agriozoophilia,Agriozoophilia,Pogophilia,Zoaphilia,Atelophilia,humanities
422,"What is  cenophilia ?
",An obsessive love of empty spaces,An obsessive love of being dirty,An obsessive love of empty spaces,An obsessive love of animal fur skins,An obsessive love of school,humanities
423,"Which of these phrases can mean fashionable?
",a la mode,a propos,a la carte,a gogo,a la mode,humanities
424,"Literally (not figuratively), what does the word adieu mean?
",to God,to God,farewell,what,hello,humanities
425,"What is an aperitif?
",a before meal drink,a terrific person,a before meal drink,an opening,a guess,humanities
426,"What does blase mean?
",unimpressed,blazer,unimpressed,tired,bleak,humanities
427,"Cafe au lait is an outdoor cafe.
",False,True,False,,,humanities
428,"What does the word coquette mean?
",a flirtatious girl,a flirtatious girl,a fancy hair style,a salmon patty,a type of poodle,humanities
429,"Which phrase refers to love of life?
",joie de vivre,joie de livre,joie de vivre,joie dadore,joie de cafe,humanities
430,"The definition of the phrase, cause celebre, is an issue arousing widespread controversy or heated public debate.
",True,True,False,,,humanities
431,"What is the literal translation of vis-a-vis?
",face to face,face to face,I see you,up front,in regards to,humanities
432,"Which phrase can mean feat of strength?
",tour de force,soup du jour,tete a tete,tour de suite,tour de force,humanities
433,"Suppose you wanted to study law and become a lawyer.   The word for lawyer in Spanish is _______________.
",abogado,peluquero,abogado,conductor,cocinero,humanities
434,"In Spanish, what would you be called if you were a fireman?
",bombero,ebanista,banquero,botanico,bombero,humanities
435,"What if you wanted to be the mayor of your town?   What would that profession be called in Spanish?
",alcalde,clerigo,tabernero,alcalde,carnicero,humanities
436,"How about if you become a baker?  In Spanish, you would be called a what?
",panadero,panadero,carpintero,marinero,cerrajero,humanities
437,"Youre 5 years old.   Your mommy asks you what you want to be when you grow up.  You say I wanna be a cowboy.  How would you say cowboy in Spanish?
",vaquero,contador,escultor,vaquero,taquillero,humanities
438,"My dad is an avid fisherman.  If he were a Spanish fisherman, what would his profession be called?
",pescador,florista,cartero,pescador,artesano,humanities
439,"If you wanted to be a clown in a Spanish circus, you would be called a payaso.
",True,True,False,,,humanities
440,"Your father was a cobbler. Your grandfather was a cobbler. Your great grandfather was a cobbler.  Chances are you may become a cobbler too.  What would the Spanish word for cobbler be?
",zapatero,criado,zapatero,jardinero,camarero,humanities
441,"Okay, so you want to be a judge in Madrid.  What word would you be called?
",juez,juez,plomero,cambiadiscos,borracho,humanities
442,"My brother lives in Mexico City.  He wants to be a trainer.  What would his job be called in Spanish?
",entrenador,enfermero,droguero,entrenador,fraile,humanities
443,"What is the English word for the Spanish word fiesta ?
",party,three,nap,fire,party,humanities
444,"How do you translate the Spanish word pescado into English?
",fish,mosquito,fish,pessimism,fire alarm,humanities
445,"What is the English word for the Spanish paloma?
",pigeon,friend,sheep,wind,pigeon,humanities
446,"The English word for the Spanish word corazÃ³n is what?
",heart,corridor,complaint,heart,candle,humanities
447,"Give me the English word for the Spanish word hermano.
",brother,herring,hermit,golf course,brother,humanities
448,"How does one say the word naranja from Spanish into English?
",orange,black,orange,green,purple,humanities
449,"Now give me the English word for the Spanish word espejo.
",mirror,mirror,perjury,horse,special,humanities
450,"Give me the English variant for the Spanish first name Guillermo.
",William,George,Joshua,James,William,humanities
451,"What is the translation of the Spanish word miÃ©rcoles in English?
",Wednesday,Wednesday,Saturday,Friday,Monday,humanities
452,"How do you translate cuchara from Spanish to English?
",spoon,spoon,knife,fork,plate,humanities
453,"What is a Tombola?
",A type of lottery,A type of lottery,A bone of the inner ear,A male cricketer,A musical instrument,humanities
454,"Tomentum is a word describing the increase in speed of a rolling object which is then accelerated e.g. kicking a soccer ball
",False,True,False,,,humanities
455,"What is another word for tome?
",work,sound,pass,work,trumpet,humanities
456,"Which Tom played Dr Who in the cult BBC television series?
",Tom Baker,Tom Baker,Tom Stoppard,Tom Archer,Tom Collins,humanities
457,"Which musician(s) created the rock opera Tommy?
",The Who,The Rolling Stones,Elton John,The Beatles,The Who,humanities
458,"A Tom Collins is a long drink consisting of vodka, lime or lemon juice, sugar and soda water.
",False,False,True,,,humanities
459,"In Greek mythology, Sirens often led sailors to their deaths with their beautiful songs.
",True,False,True,,,humanities
460,"In Greek mythology, a minotaur was made up of what two creatures?
",man and bull,man and horse,man and woman,man and bull,man and lion,humanities
461,"This 3-headed beast guarded the gates to Hades.
",Cerberus,Hydra,Sphinx,Cerberus,Zylon,humanities
462,"How do we call a person who initiates an attack?
",aggressor,aggressor,tailor,scarfor,administrator,humanities
463,"This is how we refer to a person who writes any type of literary products.
",author,creator,director,educator,author,humanities
464,"What is the term for a person responsible for devising a new machine or a new process of doing something?
",inventor,administrator,author,mentor,inventor,humanities
465,"How do we call a person who takes on a new identity in order to deceive?
",impostor,impostor,aggressor,perceptor,deceptor,humanities
466,"Someone who entertains by pretending to be someone else, usually either in a play or through film products.
",actor,actor,spectator,director,creator,humanities
467,"A university or college teacher is known as a professor.
",True,True,False,,,humanities
468,"How do we call someone that does detective work?
",investigator,investigator,instigator,supervisor,impostor,humanities
469,"A tailor is someone who only makes new clothes.
",False,True,False,,,humanities
470,"A spectator is someone who participates in activities or sporting events.
",False,True,False,,,humanities
471,"Which of these terms are used for a person who is responsible for or oversees the work done by others?
",all of these,administrator,supervisor,director,all of these,humanities
472,"This god, representing everything that threatened harmony in Egypt, was the brother of Osiris and Isis. He murdered Osiris, then battled with his nephew Horus to be the ruler of the living.
",Seth,Sobek,Seth,Shu,Thoth,humanities
473,"Since jackals were often seen in cemeteries, the ancient Egyptians believed that Anubis, a god with human body and jackal head, watched over the process of embalming.
",True,True,False,,,humanities
474,"Tawaret was a goddess who protected women during pregnancy and childbirth. She was most often depicted with the head of a hippopotamus, arms and legs of a lion, back and tail of a crocodile, and breasts and stomach of a pregnant woman.
",True,True,False,,,humanities
475,"The goddess Anekantin was Isisâ€™ sister and Anubisâ€™ wife.
",False,True,False,,,humanities
476,"This center is associated with intuition and sensory perception.
",Center of brow,Center of brow,Heart,Mid-back,Base of spine,humanities
477,"Location of the spiritual center.
",Throat,Crown,Back,Spine,Throat,humanities
478,"What color would you use to heal the etheric (root) center?
",Red,Blue,Green,Red,Yellow,humanities
479,"What color would we nedd to heal the soul?
",Violet,Yellow,Green,Orange,Violet,humanities
480,"The hara, located approximately three inches below the navel, also know as this chakra.
",Orange,Orange,Green,Indigo,Pink,humanities
481,"The heart center located at the center of the chest is this color and controls the circulatory system, heart, lungs and entire chest area.
",Emerald Green,Blue,Emerald Green,Brown,Yellow,humanities
482,"The brow center is associated with a persons extra-sensory perception and inner vision.  It is represented by this color.
",Indigo,Green,Indigo,Amber,Pink,humanities
483,"This color is used to heal the solar-plexus, also known as the power center.
",Yellow,Red,Pink,Yellow,Violet,humanities
484,"How many major chakras are there?
",7,7,9,8,6,humanities
485,"Chakras are centers for this intangible quality.
",Energy,Emotion,Soul,Energy,Spirit,humanities
486,"Which German word means knowledge in English?
",Kenntniss,Kuchen,Kenntniss,Trinken,Antwort,humanities
487,"The German noun Frage means question in English.
",True,False,True,,,humanities
488,"How is the German word Arztin translated into English?
",Doctor,Doctor,Kitchen,Art show,Bathroom,humanities
489,"What is the English equivalent of the German phrase Woher kommen Sie?
",Where do you come from?,Where is that?,Where do you come from?,What is that?,What did she say?,humanities
490,"German and English have a lot in common, because they both belong to the group of Germanic languages. How is the question Wie alt sind Sie? translated into English?
",How old are you?,Where do you live?,How do you get there?,How do you do?,How old are you?,humanities
491,"What is the word for table in French?
",table,table,escritoire,chaise,armoire,humanities
492,"How do you say cat in French?
",chat,oiseau,chat,chien,cheval,humanities
493,"If I wanted to say the word pencil in French, what would I say?
",crayon,craie,gomme,stylo,crayon,humanities
494,"Count to five in French: un, deux, trois, quatre, ____. What is the missing number?
",cinq,huit,dix,cinq,cinquante,humanities
495,"What is the French word for snow?
",neige,pluie,soleil,neige,vent,humanities
496,"Which of these is the French word for peace?
",paix,confiance,bonheur,paix,amour,humanities
497,"What is the word for egg in French?
",oeuf,oeuf,quiche,jambon,crÃªpe,humanities
498,"How does one say cup in French?
",tasse,fourchette,assiette,tasse,cuillÃ¨re,humanities
499,"Youâ€™re in France and you want to tell someone that he has a nice tie. What is the word for â€œtie?â€
",cravate,cravate,chaussette,chaussure,chapeau,humanities
500,"What is the French word for sea?
",mer,chÃ¢teau,montagne,maison,mer,humanities
501,"Watch out! The road is under _____________.
",Construction,Construction,Water,Pressure,Age,humanities
502,"What does the Latin phrase Quidquid latine dictum sit, altum videtur mean?
",Anything said in Latin sounds profound,Latin is the mother of all languages,Every wise man should speak Latin,Anything said in Latin sounds profound,"You cannot see the truth, until you learn Latin",humanities
503,"What does Ad astra per aspera mean in English?
",To the stars through hardships,Humankind aspires to reach the stars,One cannot reach a star,Rich people never smile,To the stars through hardships,humanities
504,"Julius Caesar once said veni, vidi, vici. What did he mean?
","I came, I saw, I conquered",To win is to see yourself winning,A good enemy is a dead enemy,A friend in need is a friend indeed,"I came, I saw, I conquered",humanities
505,"What is vir in Latin?
",A man,A man,A virus,A human,An enemy,humanities
506,"What does Vae Victis mean?
",Woe to the conquered,Glory to the winners,Woe to the conquered,"If you win, you loose",Beware of the conqueror,humanities
507,"If your business partner says pacta sunt servanda, what does he/she mean?
",Agreements must be honoured.,Your business is finished.,Agreements must be honoured.,You are my slave now.,How can I serve you?,humanities
508,"To whom can you say Cura te ipsum!?
","To a doctor, when you do not agree with his/her diagnosis",To a policeman who arrests you,"To your partner, expressing your love","To a beggar, when you dont have any money","To a doctor, when you do not agree with his/her diagnosis",humanities
509,"When they refer to future events in writing, some people use DV which stands for Deo volente. What does it mean?
",By Gods will,"While life is, hope is",God is (my) protector,God wills it,By Gods will,humanities
510,"When is it proper to say Nunc est bibendum?
",At a party,When you want to smoke,At a party,In court,At a catholic mass,humanities
511,"What does Roma locuta, causa finita est mean?
","Rome has spoken, the discussion is finished.",Rome wasnt built in a day.,"Rome has spoken, the discussion is finished.","When in Rome, do as the Romans do.",All ways lead to Rome.,humanities
512,"What is the meaning of sapiens?
","wise, reasonable",a mammal,"wise, reasonable",walking on two legs,human,humanities
513,"How can Nemo sine vitio est be translated into English?
",No one is without fault,No one is without fault,To sin is human,No-one is a judge in his own case,Fish dont have voice,humanities
514,"What is the missing part of the proverb Hatred is as blind as ...?
",Love,A mole,None of these,Love,Darkness,humanities
515,"Finish the proverb: Blood is thicker than ...
",Water,Sweat,Tears,Wine,Water,humanities
516,"What is the missing word in the popular proverb A stitch in time saves ...?
",Nine,Nine,Everybody,A dime,Thousands,humanities
517,"Complete the popular proverb: Tall oaks grow from ...
",Little acorns,Small saplings,Nutritious soil,Strong earth,Little acorns,humanities
518,"What is the missing part of the proverb, The ... wounds more than a lance?
",Tongue,Evil eye,Tongue,Hand,Word,humanities
519,"What is the end of the proverb Two wrongs dont make ...?
",A right,It easier,The world a better place,A right,A fight,humanities
520,"What is the missing part of the saying Make a silk purse out of a ...?
",Sows ear,Cows ear,Silk dress,Sows ear,Woolen sock,humanities
521,"What is the missing word of the proverb: A loaded ... makes no noise?
",Wagon,Train,Wagon,Gun,Horse,humanities
522,"What is the missing word from the popular saying A burnt child dreads the ...?
",Fire,Stove,Fire,Air conditioner,Match,humanities
523,"Complete the following proverb: Learn to walk before you ...
",Run,Run,Crawl,Speak,Leap,humanities
524,"Which word refers to the ancient Greek songs, performed by a chorus in honor of the Greek god, Dionysus?
",dithyramb,thriambos,dithyramb,thyrsus,tirsu,humanities
525,"Within the Olympian tradition, Dionysos was said to be the son of Zeus and which mortal woman?
",Semele,Semele,Medea,Metis,Leda,humanities
526,"In both Greek and Roman mythology Dionysus is known by what other name?
",Bacchus,Bacchus,Ares,Cadmus,None of these,humanities
527,"Which word refers to the ecstatic female worshippers of god Dionysos?
",maenads,maenads,satyrs,herms,sileni,humanities
